Date,Location,Store_ID,Product_Category,Product_ID,Product_Name,Units_Sold,Unit_Price,Discount_Offered (%),Payment_Method,Customer_Age_Group,Customer_Gender,Sales_Representative_ID,Customer_Rating
15-01-2023,Bangalore,CROMA-9532,Home Appliances,P-45928,Home Appliances 3,3,25532.21,15,EMI,36-45,Non-Binary,SR-344,3.7
05-01-2023,Delhi,CROMA-8602,Home Appliances,P-55211,Home Appliances 15,3,20259.49,5,UPI,36-45,Female,SR-183,4.1
11-01-2023,Pune,CROMA-8449,Cameras,P-88037,Cameras 4,8,25917.23,15,Cash,18-25,Female,SR-651,3.2
18-01-2023,Delhi,CROMA-5694,Laptops,P-46141,Laptops 8,1,22865.15,5,Cash,18-25,Female,SR-538,3.3
18-01-2023,Pune,CROMA-7193,Televisions,P-66780,Televisions 20,9,13537.09,15,UPI,36-45,Non-Binary,SR-953,3.7
23-01-2023,Chennai,CROMA-5644,Laptops,P-46267,Laptops 2,8,43044.92,15,Debit Card,46-60,Male,SR-673,3.4
25-01-2023,Mumbai,CROMA-3018,Home Appliances,P-83641,Home Appliances 17,5,30847.29,0,Cash,36-45,Female,SR-137,4.8
08-01-2023,Pune,CROMA-2242,Home Appliances,P-77269,Home Appliances 9,4,16087.22,0,Cash,18-25,Female,SR-910,4.1
01-01-2023,Bangalore,CROMA-5984,Televisions,P-30721,Televisions 15,5,43236.42,10,Debit Card,26-35,Male,SR-410,4.9
06-01-2023,Bangalore,CROMA-6923,Cameras,P-24360,Cameras 11,7,44945.49,5,UPI,36-45,Female,SR-569,4.7
24-01-2023,Ahmedabad,CROMA-2717,Laptops,P-53859,Laptops 12,8,31446.18,10,Credit Card,46-60,Female,SR-269,4.6
18-01-2023,Bangalore,CROMA-5790,Mobile Phones,P-28607,Mobile Phones 8,2,32946.52,10,Debit Card,18-25,Non-Binary,SR-109,5
26-01-2023,Hyderabad,CROMA-9109,Home Appliances,P-46972,Home Appliances 19,10,38654.13,15,Debit Card,18-25,Male,SR-342,3.6
20-01-2023,Chennai,CROMA-9743,Cameras,P-52243,Cameras 20,9,20153.27,0,Credit Card,26-35,Female,SR-400,4.6
20-01-2023,Kolkata,CROMA-3878,Mobile Phones,P-40476,Mobile Phones 13,10,27998.14,10,UPI,18-25,Male,SR-592,3
10-01-2023,Delhi,CROMA-9201,Home Appliances,P-54512,Home Appliances 20,6,32186.02,5,UPI,46-60,Female,SR-722,3.6
09-01-2023,Pune,CROMA-2023,Cameras,P-48471,Cameras 4,8,35641.43,0,UPI,18-25,Male,SR-792,4.7
02-01-2023,Mumbai,CROMA-3078,Televisions,P-28437,Televisions 2,4,6824.87,5,Debit Card,26-35,Male,SR-672,3.2
02-01-2023,Pune,CROMA-9510,Home Appliances,P-49343,Home Appliances 17,6,31752.12,15,Credit Card,46-60,Non-Binary,SR-872,4.3
06-01-2023,Delhi,CROMA-4498,Mobile Phones,P-14818,Mobile Phones 2,5,41989.64,15,Cash,36-45,Male,SR-969,3.2
